Results,EUR/USD Close,EUR/USD High,EUR/USD Low
Average,  1.268,  1.273,  1.264
Minimum,   1.048,   1.062,   1.046
Maximum,   1.393,   1.399,   1.391
Std,   0.096,   0.094,   0.097
# In Calc, 258, 258, 258

Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2014-04-01,1.3793,1.3815,1.3767
2014-04-02,1.3762,1.382,1.375
2014-04-03,1.3715,1.3807,1.3695
2014-04-04,1.3705,1.3731,1.367
2014-04-07,1.3743,1.375,1.3694
2014-04-08,1.3794,1.3812,1.3734
2014-04-09,1.3851,1.3858,1.3777
2014-04-10,1.3887,1.39,1.3833
2014-04-11,1.3882,1.3906,1.386
2014-04-14,1.382,1.3863,1.3806
2014-04-15,1.3813,1.3833,1.3788
2014-04-16,1.3813,1.3851,1.3801
2014-04-17,1.3814,1.3865,1.3808
2014-04-18,1.3818,1.3822,1.3806
2014-04-21,1.3793,1.383,1.3785
2014-04-22,1.3804,1.3825,1.3782
2014-04-23,1.3816,1.3855,1.3798
2014-04-24,1.3827,1.3843,1.3788
2014-04-25,1.3832,1.385,1.3825
2014-04-28,1.3848,1.388,1.3813
2014-04-29,1.3811,1.388,1.3802
2014-04-30,1.387,1.3877,1.3772
2014-05-01,1.3865,1.3889,1.3859
2014-05-02,1.387,1.3881,1.381
2014-05-05,1.3876,1.3886,1.3862
2014-05-06,1.3928,1.3951,1.3869
2014-05-07,1.3912,1.394,1.3909
2014-05-08,1.3852,1.3993,1.3847
2014-05-09,1.3754,1.3844,1.3744
2014-05-12,1.3757,1.3775,1.3747
2014-05-13,1.3701,1.3772,1.3687
2014-05-14,1.371,1.3731,1.3694
2014-05-15,1.371,1.3733,1.3646
2014-05-16,1.37,1.3727,1.3682
2014-05-19,1.3709,1.3734,1.3692
2014-05-20,1.3698,1.3714,1.3675
2014-05-21,1.3685,1.3723,1.3633
2014-05-22,1.3654,1.3688,1.3643
2014-05-23,1.363,1.3656,1.3613
2014-05-26,1.3645,1.3654,1.3611
2014-05-27,1.3636,1.3669,1.361
2014-05-28,1.3594,1.364,1.3587
2014-05-29,1.3602,1.3626,1.3584
2014-05-30,1.3631,1.365,1.3596
2014-06-02,1.3597,1.3643,1.3586
2014-06-03,1.3625,1.3648,1.3585
2014-06-04,1.3599,1.364,1.3594
2014-06-05,1.3653,1.367,1.3501
2014-06-06,1.3644,1.3677,1.3618
2014-06-09,1.3587,1.367,1.358
2014-06-10,1.3545,1.3602,1.353
2014-06-11,1.3529,1.3557,1.3518
2014-06-12,1.3564,1.3572,1.3509
2014-06-13,1.3538,1.358,1.3518
2014-06-19,1.3602,1.3643,1.3581
2014-06-20,1.3595,1.3634,1.3562
2014-06-23,1.3603,1.3614,1.3571
2014-06-24,1.3601,1.3628,1.3581
2014-06-25,1.363,1.3651,1.3598
2014-06-26,1.3607,1.3641,1.3574
2014-06-27,1.3646,1.3648,1.3607
2014-06-30,1.3693,1.3698,1.3637
2014-07-01,1.3677,1.3701,1.3673
2014-07-02,1.3655,1.3683,1.3639
2014-07-03,1.3603,1.3664,1.3594
2014-07-04,1.3594,1.3611,1.3582
2014-07-07,1.3607,1.3609,1.3573
2014-07-08,1.3612,1.362,1.3585
2014-07-09,1.3644,1.3648,1.3599
2014-07-10,1.3603,1.3651,1.3587
2014-07-11,1.3608,1.3625,1.359
2014-07-14,1.3619,1.364,1.3595
2014-07-15,1.3567,1.363,1.3559
2014-07-16,1.3523,1.3571,1.3521
2014-07-17,1.3528,1.354,1.3517
2014-07-18,1.3526,1.3536,1.3491
2014-07-21,1.3521,1.3549,1.3513
2014-07-22,1.3468,1.353,1.3459
2014-07-23,1.346,1.3474,1.3455
2014-07-24,1.3463,1.3485,1.3438
2014-07-25,1.3432,1.3476,1.3422
2014-07-28,1.3433,1.3444,1.3427
2014-07-29,1.341,1.3445,1.3404
2014-07-30,1.3393,1.3415,1.3367
2014-07-31,1.3388,1.3401,1.3372
2014-08-01,1.3423,1.3445,1.3379
2014-08-04,1.342,1.3433,1.341
2014-08-05,1.3375,1.3425,1.3358
2014-08-06,1.3379,1.3387,1.3333
2014-08-07,1.3364,1.3394,1.3337
2014-08-08,1.3412,1.3433,1.3344
2014-08-11,1.3384,1.3412,1.338
2014-08-12,1.3367,1.3387,1.3336
2014-08-13,1.3368,1.3415,1.3342
2014-08-14,1.3369,1.3408,1.3349
2014-08-15,1.3392,1.3412,1.3359
2014-08-18,1.3361,1.34,1.3353
2014-08-19,1.3321,1.3363,1.3313
2014-08-20,1.3263,1.3326,1.3256
2014-08-21,1.328,1.329,1.3242
2014-08-22,1.3244,1.3297,1.3221
2014-08-25,1.3194,1.3223,1.3184
2014-08-26,1.3176,1.3215,1.3165
2014-08-27,1.3197,1.321,1.3153
2014-08-28,1.3184,1.3221,1.316
2014-08-29,1.3139,1.3196,1.3134
2014-09-01,1.3136,1.3146,1.3119
2014-09-02,1.3133,1.3137,1.311
2014-09-03,1.3145,1.316,1.3122
2014-09-04,1.2945,1.3154,1.292
2014-09-05,1.2952,1.2988,1.2922
2014-09-08,1.2899,1.296,1.2882
2014-09-09,1.2943,1.295,1.2859
2014-09-10,1.2908,1.2963,1.2884
2014-09-11,1.2917,1.2952,1.2897
2014-09-12,1.2949,1.2979,1.2909
2014-09-15,1.2939,1.2979,1.2909
2014-09-16,1.2962,1.2995,1.2922
2014-09-17,1.2879,1.2981,1.2875
2014-09-18,1.2918,1.293,1.2834
2014-09-19,1.2836,1.2929,1.283
2014-09-22,1.2844,1.2868,1.2816
2014-09-23,1.2857,1.2901,1.2843
2014-09-24,1.2786,1.2864,1.2774
2014-09-25,1.2749,1.2783,1.2698
2014-09-26,1.2681,1.2761,1.2677
2014-09-29,1.269,1.2715,1.2664
2014-09-30,1.2629,1.2702,1.2571
2014-10-01,1.2615,1.264,1.2584
2014-10-02,1.2669,1.2699,1.2614
2014-10-03,1.251,1.2672,1.25
2014-10-06,1.2645,1.2675,1.2509
2014-10-07,1.2678,1.2682,1.2584
2014-10-08,1.2721,1.2749,1.2623
2014-10-09,1.2681,1.2792,1.2664
2014-10-10,1.2613,1.2716,1.2609
2014-10-13,1.2693,1.2699,1.2621
2014-10-14,1.2657,1.2749,1.264
2014-10-15,1.2802,1.2887,1.2625
2014-10-16,1.2796,1.2845,1.2706
2014-10-17,1.2761,1.2837,1.2744
2014-10-20,1.2808,1.2817,1.2732
2014-10-21,1.2722,1.284,1.2716
2014-10-22,1.2642,1.274,1.2637
2014-10-23,1.265,1.2677,1.2614
2014-10-24,1.2668,1.2696,1.2635
2014-10-27,1.2706,1.2723,1.2666
2014-10-28,1.2736,1.2765,1.2685
2014-10-29,1.2644,1.2771,1.2633
2014-10-30,1.2613,1.2639,1.2548
2014-10-31,1.253,1.2616,1.2486
2014-11-03,1.2489,1.2514,1.244
2014-11-04,1.2549,1.2577,1.2482
2014-11-05,1.248,1.2567,1.2458
2014-11-06,1.2378,1.2533,1.2376
2014-11-07,1.2453,1.247,1.2358
2014-11-10,1.242,1.251,1.2419
2014-11-11,1.2479,1.2499,1.2395
2014-11-12,1.2431,1.2498,1.242
2014-11-13,1.2482,1.2492,1.2427
2014-11-14,1.2525,1.2546,1.2399
2014-11-17,1.2452,1.2578,1.2445
2014-11-18,1.2534,1.2545,1.2444
2014-11-19,1.2538,1.26,1.2512
2014-11-20,1.2545,1.2575,1.2505
2014-11-21,1.2387,1.2568,1.2375
2014-11-24,1.2439,1.2445,1.2361
2014-11-25,1.2477,1.2487,1.2402
2014-11-26,1.2508,1.2532,1.2444
2014-11-27,1.2474,1.2524,1.2465
2014-11-28,1.2441,1.249,1.2427
2014-12-01,1.2475,1.2507,1.242
2014-12-02,1.2379,1.2483,1.2377
2014-12-03,1.2313,1.2391,1.2301
2014-12-04,1.2378,1.2456,1.2283
2014-12-05,1.2289,1.2393,1.2271
2014-12-08,1.2318,1.2344,1.2247
2014-12-09,1.2367,1.2448,1.2292
2014-12-10,1.2443,1.2447,1.2362
2014-12-11,1.2385,1.2495,1.237
2014-12-12,1.2458,1.2485,1.2385
2014-12-15,1.2441,1.2483,1.2415
2014-12-16,1.25,1.257,1.2434
2014-12-17,1.2343,1.2516,1.2321
2014-12-18,1.2283,1.2353,1.2266
2014-12-19,1.2225,1.2302,1.222
2014-12-22,1.2218,1.2273,1.2217
2014-12-23,1.2175,1.2246,1.2165
2014-12-24,1.2193,1.222,1.2169
2014-12-25,1.2239,1.2245,1.2188
2014-12-26,1.2178,1.2226,1.2169
2014-12-29,1.2153,1.2221,1.2143
2014-12-30,1.2153,1.2187,1.2124
2014-12-31,1.2098,1.217,1.2097
2015-01-01,1.2097,1.21,1.2099
2015-01-02,1.2004,1.2108,1.2002
2015-01-05,1.1938,1.2005,1.1868
2015-01-06,1.1899,1.1969,1.1884
2015-01-07,1.1832,1.1897,1.1802
2015-01-08,1.1789,1.1848,1.1755
2015-01-09,1.1842,1.1846,1.1763
2015-01-12,1.184,1.1871,1.1787
2015-01-13,1.1771,1.186,1.1753
2015-01-14,1.1789,1.1846,1.1728
2015-01-15,1.1616,1.1793,1.1568
2015-01-16,1.1567,1.165,1.146
2015-01-19,1.1604,1.164,1.1548
2015-01-20,1.1549,1.1615,1.1541
2015-01-21,1.1596,1.168,1.1542
2015-01-22,1.1339,1.1651,1.1335
2015-01-23,1.1221,1.1374,1.1115
2015-01-26,1.1265,1.1296,1.1098
2015-01-27,1.1368,1.1423,1.1224
2015-01-28,1.1291,1.1383,1.1282
2015-01-29,1.1316,1.1368,1.1262
2015-01-30,1.1303,1.1364,1.1279
2015-02-02,1.134,1.1362,1.1291
2015-02-03,1.1484,1.1534,1.1313
2015-02-04,1.1397,1.1487,1.1382
2015-02-05,1.1476,1.1499,1.1304
2015-02-06,1.1322,1.1486,1.1312
2015-02-09,1.132,1.136,1.127
2015-02-10,1.1318,1.1345,1.1273
2015-02-11,1.1302,1.1332,1.128
2015-02-12,1.141,1.1423,1.1302
2015-02-13,1.1398,1.1443,1.138
2015-02-16,1.1404,1.143,1.13895
2015-02-17,1.14162,1.1449,1.13221
2015-02-18,1.14009,1.14161,1.1334
2015-02-19,1.13619,1.14501,1.13556
2015-02-20,1.1375,1.14298,1.12792
2015-02-23,1.13325,1.1412,1.12954
2015-02-24,1.13411,1.13581,1.12885
2015-02-25,1.13611,1.139,1.13359
2015-02-26,1.11959,1.138,1.11839
2015-02-27,1.11868,1.12451,1.1176
2015-03-02,1.1182,1.1241,1.116
2015-03-03,1.11763,1.12175,1.11543
2015-03-04,1.1074,1.11866,1.10617
2015-03-05,1.10268,1.11143,1.09876
2015-03-06,1.08496,1.10327,1.08419
2015-03-09,1.08616,1.09065,1.08228
2015-03-10,1.0697,1.08559,1.06928
2015-03-11,1.05407,1.0717,1.0511
2015-03-12,1.06078,1.06837,1.04944
2015-03-13,1.04763,1.06346,1.04625
2015-03-16,1.0577,1.0619,1.0459
2015-03-17,1.05915,1.06508,1.05515
2015-03-18,1.08876,1.104,1.05803
2015-03-19,1.0638,1.092,1.0613
2015-03-20,1.0804,1.08823,1.06557
2015-03-23,1.09623,1.09633,1.07677
2015-03-24,1.09241,1.10292,1.089
2015-03-25,1.0962,1.1015,1.0901
2015-03-26,1.08894,1.10522,1.08566
2015-03-27,1.08962,1.09487,1.08014
2015-03-30,1.08124,1.0896,1.08097
2015-03-31,1.07468,1.08455,1.07133
