Results,EUR/USD Close,EUR/USD High,EUR/USD Low
Average,  1.288,  1.293,  1.283
Minimum,   1.206,   1.214,   1.204
Maximum,   1.365,   1.371,   1.357
Std,   0.035,   0.035,   0.035
# In Calc, 260, 260, 260

Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2012-04-02,1.3328,1.338,1.3279
2012-04-03,1.3229,1.3368,1.3212
2012-04-04,1.3139,1.3239,1.3107
2012-04-05,1.3064,1.3164,1.3035
2012-04-06,1.3088,1.3113,1.3052
2012-04-09,1.3117,1.3134,1.3031
2012-04-10,1.3076,1.3144,1.3053
2012-04-11,1.3102,1.3157,1.3067
2012-04-12,1.3187,1.3213,1.3102
2012-04-13,1.3072,1.3201,1.3068
2012-04-16,1.3138,1.3148,1.2995
2012-04-17,1.313,1.3173,1.309
2012-04-18,1.3114,1.3141,1.3058
2012-04-19,1.3134,1.3165,1.307
2012-04-20,1.3215,1.3225,1.3129
2012-04-23,1.3154,1.3217,1.3105
2012-04-24,1.3182,1.3218,1.3145
2012-04-25,1.3214,1.3236,1.3173
2012-04-26,1.324,1.3263,1.3199
2012-04-27,1.3247,1.327,1.3158
2012-04-30,1.3236,1.3267,1.3208
2012-05-01,1.3235,1.3284,1.3204
2012-05-02,1.3156,1.3241,1.3122
2012-05-03,1.315,1.318,1.3096
2012-05-04,1.3089,1.3178,1.308
2012-05-07,1.3058,1.3064,1.2956
2012-05-08,1.3016,1.3066,1.298
2012-05-09,1.2942,1.3006,1.2912
2012-05-10,1.2946,1.298,1.2925
2012-05-11,1.2922,1.2958,1.2904
2012-05-14,1.2839,1.2907,1.2824
2012-05-15,1.2728,1.287,1.2718
2012-05-16,1.2723,1.2759,1.2682
2012-05-17,1.27,1.2749,1.2666
2012-05-18,1.2773,1.2794,1.2643
2012-05-21,1.2816,1.2825,1.2723
2012-05-22,1.2676,1.2817,1.2655
2012-05-23,1.2584,1.2688,1.2545
2012-05-24,1.2533,1.262,1.2516
2012-05-25,1.2518,1.2603,1.2496
2012-05-28,1.2543,1.2624,1.2524
2012-05-29,1.2493,1.2575,1.2461
2012-05-30,1.2373,1.2494,1.236
2012-05-31,1.2375,1.243,1.2337
2012-06-01,1.2408,1.2459,1.2289
2012-06-04,1.2496,1.251,1.2386
2012-06-05,1.2446,1.2542,1.241
2012-06-06,1.2572,1.2583,1.244
2012-06-07,1.2582,1.2626,1.254
2012-06-08,1.2501,1.2575,1.2436
2012-06-11,1.2483,1.2668,1.248
2012-06-12,1.2499,1.253,1.2442
2012-06-13,1.2571,1.261,1.2474
2012-06-14,1.2614,1.2635,1.2543
2012-06-15,1.2645,1.2664,1.2592
2012-06-18,1.2577,1.2747,1.2556
2012-06-19,1.2691,1.2731,1.2569
2012-06-20,1.267,1.2743,1.2638
2012-06-21,1.2545,1.2701,1.2532
2012-06-22,1.2565,1.2583,1.252
2012-06-25,1.25,1.2569,1.2472
2012-06-26,1.2499,1.2531,1.2442
2012-06-27,1.2469,1.2508,1.2446
2012-06-28,1.2445,1.2524,1.2408
2012-06-29,1.2654,1.2693,1.2433
2012-07-02,1.2583,1.268,1.2569
2012-07-03,1.2607,1.2627,1.2559
2012-07-04,1.2533,1.2607,1.2508
2012-07-05,1.2389,1.254,1.2364
2012-07-06,1.2275,1.2401,1.2259
2012-07-09,1.231,1.2324,1.2225
2012-07-10,1.2252,1.2334,1.2236
2012-07-11,1.2233,1.2297,1.2212
2012-07-12,1.221,1.2249,1.2165
2012-07-13,1.224,1.2257,1.216
2012-07-16,1.2279,1.229,1.2176
2012-07-17,1.2281,1.2317,1.2188
2012-07-18,1.2276,1.2306,1.2215
2012-07-19,1.2271,1.2324,1.2228
2012-07-20,1.2164,1.2283,1.2144
2012-07-23,1.2134,1.2145,1.2068
2012-07-24,1.2064,1.2138,1.2041
2012-07-25,1.2152,1.2171,1.2054
2012-07-26,1.2282,1.233,1.2115
2012-07-27,1.2317,1.239,1.224
2012-07-30,1.2253,1.2339,1.2226
2012-07-31,1.2308,1.233,1.2247
2012-08-01,1.2239,1.2336,1.2218
2012-08-02,1.2176,1.2405,1.2131
