Results,GBP/USD Close,GBP/USD High,GBP/USD Low
Average,  1.612,  1.617,  1.608
Minimum,   1.471,   1.485,   1.463
Maximum,   1.717,   1.719,   1.714
Std,   0.072,   0.070,   0.073
# In Calc, 258, 258, 258

Date,GBP/USD Close,GBP/USD High,GBP/USD Low
2014-04-01,1.6631,1.6675,1.6613
2014-04-02,1.6622,1.6664,1.6618
2014-04-03,1.6594,1.6661,1.6566
2014-04-04,1.6579,1.6606,1.6549
2014-04-07,1.6608,1.6624,1.6561
2014-04-08,1.6745,1.6754,1.6603
2014-04-09,1.6789,1.68,1.672
2014-04-10,1.6778,1.682,1.6751
2014-04-11,1.6737,1.6787,1.6713
2014-04-14,1.6728,1.6744,1.6692
2014-04-15,1.6723,1.6749,1.6656
2014-04-16,1.6794,1.6818,1.6716
2014-04-17,1.6794,1.6842,1.6783
2014-04-18,1.679,1.6797,1.6771
2014-04-21,1.6799,1.6819,1.6779
2014-04-22,1.6823,1.684,1.6781
2014-04-23,1.6778,1.6836,1.6758
2014-04-24,1.6801,1.6806,1.6761
2014-04-25,1.6797,1.683,1.6786
2014-04-28,1.6806,1.6858,1.6775
2014-04-29,1.6829,1.6847,1.6788
2014-04-30,1.6879,1.6901,1.6803
2014-05-01,1.6887,1.692,1.6869
2014-05-02,1.6872,1.6895,1.6819
2014-05-05,1.6866,1.6883,1.6849
2014-05-06,1.698,1.6996,1.6863
2014-05-07,1.6955,1.6986,1.6951
2014-05-08,1.6939,1.6975,1.6921
2014-05-09,1.6849,1.6938,1.6828
2014-05-12,1.6867,1.6903,1.6845
2014-05-13,1.6825,1.6883,1.6816
2014-05-14,1.6768,1.6874,1.6749
2014-05-15,1.6793,1.6806,1.6729
2014-05-16,1.682,1.6841,1.6781
2014-05-19,1.6821,1.6845,1.6801
2014-05-20,1.684,1.6865,1.6798
2014-05-21,1.6902,1.6921,1.6828
2014-05-22,1.6864,1.6918,1.6847
2014-05-23,1.6828,1.6876,1.6808
2014-05-26,1.6844,1.6853,1.6815
