Date,GBP/USD Close,GBP/USD High,GBP/USD Low
4/2/2012,1.6033,1.6063,1.5979
4/3/2012,1.5908,1.6046,1.5891
4/4/2012,1.5889,1.5914,1.5833
4/5/2012,1.5822,1.5908,1.5806
4/6/2012,1.5877,1.5891,1.5824
4/9/2012,1.5904,1.5914,1.5835
4/10/2012,1.5869,1.5931,1.5809
4/11/2012,1.5902,1.5938,1.5853
4/12/2012,1.5966,1.5985,1.5909
4/13/2012,1.5843,1.597,1.5841
4/16/2012,1.5897,1.5911,1.5819
4/17/2012,1.5935,1.5971,1.5863
4/18/2012,1.6021,1.6042,1.5896
4/19/2012,1.6054,1.6078,1.601
4/20/2012,1.6133,1.6143,1.6039
4/23/2012,1.613,1.6134,1.6077
4/24/2012,1.6135,1.6164,1.611
4/25/2012,1.6165,1.6182,1.6082
4/26/2012,1.6196,1.6207,1.6159
4/27/2012,1.6263,1.628,1.6154
4/30/2012,1.623,1.6301,1.6218
5/1/2012,1.6221,1.6247,1.6184
5/2/2012,1.6192,1.6239,1.6159
5/3/2012,1.618,1.6215,1.6159
5/4/2012,1.615,1.6203,1.614
5/7/2012,1.6189,1.6197,1.6115
5/8/2012,1.6159,1.6199,1.6122
5/9/2012,1.6141,1.6159,1.6067
5/10/2012,1.615,1.6182,1.6092
5/11/2012,1.6073,1.6143,1.6059
5/14/2012,1.6097,1.6123,1.6052
5/15/2012,1.5994,1.6114,1.5987
5/16/2012,1.5915,1.5998,1.5889
5/17/2012,1.5799,1.5932,1.579
5/18/2012,1.5822,1.5838,1.5732
5/21/2012,1.584,1.5841,1.5774
5/22/2012,1.5749,1.5848,1.5739
5/23/2012,1.5702,1.5771,1.5673
5/24/2012,1.5664,1.5727,1.5639
5/25/2012,1.5657,1.57,1.5629
5/28/2012,1.5684,1.5717,1.5659
5/29/2012,1.5641,1.5717,1.5605
5/30/2012,1.5485,1.5638,1.5475
5/31/2012,1.5422,1.5526,1.5361
6/1/2012,1.5358,1.5438,1.5269
6/4/2012,1.5387,1.5415,1.5343
6/5/2012,1.5373,1.5408,1.5322
6/6/2012,1.5497,1.5515,1.5374
6/7/2012,1.5539,1.5601,1.5431
6/8/2012,1.5467,1.5537,1.5404
6/11/2012,1.5487,1.5582,1.547
6/12/2012,1.557,1.559,1.5455
6/13/2012,1.5515,1.5598,1.5512
6/14/2012,1.5548,1.5562,1.5473
6/15/2012,1.5688,1.5725,1.5477
6/18/2012,1.5668,1.579,1.5633
6/19/2012,1.5739,1.5757,1.5616
6/20/2012,1.5692,1.5777,1.5652
6/21/2012,1.5587,1.5734,1.5577
6/22/2012,1.5583,1.5634,1.5557
6/25/2012,1.5572,1.5595,1.5539
6/26/2012,1.5645,1.5651,1.5564
6/27/2012,1.5566,1.5641,1.5546
6/28/2012,1.5512,1.5624,1.5483
6/29/2012,1.5671,1.5707,1.551
7/2/2012,1.5695,1.5722,1.5642
7/3/2012,1.5691,1.5713,1.5658
7/4/2012,1.5603,1.569,1.5575
7/5/2012,1.5527,1.5623,1.55
7/6/2012,1.5483,1.5551,1.5459
7/9/2012,1.5522,1.5531,1.5468
7/10/2012,1.5514,1.5549,1.5479
7/11/2012,1.5493,1.5578,1.5485
7/12/2012,1.5438,1.5516,1.5392
7/13/2012,1.557,1.558,1.5415
7/16/2012,1.5633,1.5655,1.5518
7/17/2012,1.5643,1.5678,1.5551
7/18/2012,1.5653,1.5668,1.558
7/19/2012,1.5719,1.5738,1.5637
7/20/2012,1.5617,1.5721,1.5608
7/23/2012,1.5522,1.5626,1.5486
7/24/2012,1.5506,1.5552,1.5486
7/25/2012,1.5496,1.5551,1.5459
7/26/2012,1.5687,1.5724,1.5467
7/27/2012,1.5733,1.5768,1.5665
7/30/2012,1.569,1.5751,1.5673
7/31/2012,1.5679,1.573,1.5623
8/1/2012,1.5554,1.5691,1.5531
8/2/2012,1.5509,1.568,1.5489
8/3/2012,1.564,1.5657,1.5505
8/6/2012,1.5619,1.5665,1.5545
8/7/2012,1.5633,1.5684,1.5563
8/8/2012,1.5653,1.5677,1.5573
8/9/2012,1.563,1.5686,1.5602
8/10/2012,1.5668,1.5701,1.5578
8/13/2012,1.5684,1.5717,1.5657
8/14/2012,1.5684,1.5728,1.567
8/15/2012,1.5687,1.5701,1.566
8/16/2012,1.5739,1.5744,1.5637
8/17/2012,1.5683,1.5739,1.5671
8/20/2012,1.5707,1.5717,1.5679
8/21/2012,1.5777,1.5804,1.5707
8/22/2012,1.5861,1.5873,1.5766
8/23/2012,1.5862,1.5913,1.5856
8/24/2012,1.5806,1.5869,1.58
8/27/2012,1.5791,1.5829,1.5788
8/28/2012,1.5822,1.5836,1.5755
8/29/2012,1.5833,1.5856,1.58
8/30/2012,1.5793,1.5875,1.5769
8/31/2012,1.5881,1.5896,1.5779
9/3/2012,1.5886,1.5899,1.5847
9/4/2012,1.5877,1.591,1.5855
9/5/2012,1.5906,1.5934,1.5822
9/6/2012,1.5937,1.5943,1.5881
9/7/2012,1.5999,1.6034,1.592
9/10/2012,1.599,1.6019,1.5956
9/11/2012,1.6067,1.6084,1.5988
9/12/2012,1.6105,1.6131,1.606
9/13/2012,1.6154,1.6174,1.6071
9/14/2012,1.623,1.6256,1.6141
9/17/2012,1.6236,1.6273,1.6209
9/18/2012,1.624,1.6267,1.6219
9/19/2012,1.6221,1.6271,1.6181
9/20/2012,1.6217,1.6236,1.616
9/21/2012,1.625,1.6309,1.6211
9/24/2012,1.6216,1.6249,1.6179
9/25/2012,1.6198,1.6267,1.6191
9/26/2012,1.6156,1.6209,1.6138
9/27/2012,1.6237,1.6244,1.6166
9/28/2012,1.6126,1.6272,1.6112
10/1/2012,1.6126,1.6175,1.611
10/2/2012,1.6142,1.6187,1.6125
10/3/2012,1.6073,1.6142,1.6065
10/4/2012,1.6182,1.6202,1.6078
10/5/2012,1.6126,1.6217,1.6121
10/8/2012,1.6036,1.6142,1.6018
10/9/2012,1.5989,1.6046,1.5974
10/10/2012,1.6009,1.6034,1.5977
10/11/2012,1.6047,1.6054,1.5985
10/12/2012,1.6076,1.6097,1.6019
10/15/2012,1.6071,1.6082,1.6021
10/16/2012,1.6111,1.6132,1.6061
10/17/2012,1.6149,1.6178,1.6113
10/18/2012,1.6055,1.6171,1.6046
10/19/2012,1.6007,1.6067,1.5995
10/22/2012,1.6006,1.6052,1.5991
10/23/2012,1.5946,1.6024,1.591
10/24/2012,1.6029,1.6048,1.5937
10/25/2012,1.6125,1.6144,1.6027
10/26/2012,1.609,1.6141,1.6079
10/29/2012,1.6029,1.6123,1.6003
10/30/2012,1.6071,1.6085,1.6022
10/31/2012,1.6029,1.6039,1.5965
11/1/2012,1.6122,1.6175,1.6118
11/2/2012,1.6018,1.6133,1.6004
11/5/2012,1.5978,1.6039,1.5956
11/6/2012,1.5994,1.6008,1.5963
11/7/2012,1.5991,1.6042,1.5953
11/8/2012,1.5977,1.6005,1.5926
11/9/2012,1.5899,1.6019,1.5887
11/12/2012,1.588,1.5915,1.5861
11/13/2012,1.5875,1.5916,1.5858
11/14/2012,1.5841,1.5902,1.5837
11/15/2012,1.5849,1.5879,1.5826
11/16/2012,1.5885,1.5901,1.5835
11/19/2012,1.59,1.5923,1.5883
11/20/2012,1.592,1.5936,1.5892
11/21/2012,1.5953,1.5955,1.5883
11/22/2012,1.593,1.5978,1.5924
11/23/2012,1.604,1.6051,1.5926
11/26/2012,1.6025,1.6038,1.5996
11/27/2012,1.6013,1.6056,1.601
11/28/2012,1.6011,1.6025,1.5958
11/29/2012,1.6039,1.6048,1.6002
11/30/2012,1.6024,1.6062,1.5987
12/3/2012,1.6091,1.6116,1.6004
12/4/2012,1.6103,1.6131,1.6084
12/5/2012,1.6089,1.6118,1.6079
12/6/2012,1.6052,1.6128,1.604
12/7/2012,1.6038,1.6061,1.6003
12/10/2012,1.6069,1.6096,1.6014
12/11/2012,1.6111,1.6122,1.607
12/12/2012,1.614,1.6172,1.6096
12/13/2012,1.6107,1.6153,1.6085
12/14/2012,1.6156,1.6178,1.6104
12/17/2012,1.6201,1.6216,1.6156
12/18/2012,1.6249,1.6269,1.6196
12/19/2012,1.6255,1.6307,1.6246
12/20/2012,1.6277,1.6296,1.6239
12/21/2012,1.6165,1.6283,1.6149
12/24/2012,1.6115,1.6206,1.6099
12/25/2012,1.6013,1.6142,1.6013
12/26/2012,1.613,1.6171,1.6105
12/27/2012,1.6113,1.6202,1.6065
12/28/2012,1.6168,1.6169,1.6079
12/31/2012,1.6234,1.6274,1.613
1/1/2013,1.623,1.6259,1.6229
1/2/2013,1.6244,1.638,1.6223
1/3/2013,1.6093,1.6256,1.6088
1/4/2013,1.6076,1.6109,1.6008
1/7/2013,1.6103,1.6108,1.6018
1/8/2013,1.6055,1.6129,1.6026
1/9/2013,1.6025,1.6075,1.5989
1/10/2013,1.6151,1.6168,1.6005
1/11/2013,1.6119,1.6178,1.6088
1/14/2013,1.6089,1.6154,1.6028
