Date,Open,High,Low,Close,Volume,Adj Close
2013-03-28,28.32,28.66,28.26,28.61,55453800,27.06078
2013-03-27,28.14,28.45,28.08,28.37,36047400,26.83378
2013-03-26,28.24,28.34,28.11,28.16,27824300,26.63515
2013-03-25,28.30,28.35,27.96,28.16,44154000,26.63515
2013-03-22,28.19,28.34,28.10,28.25,28720900,26.72028
2013-03-21,28.11,28.36,28.05,28.11,34233200,26.58786
2013-03-20,28.34,28.49,28.18,28.32,35447800,26.78649
2013-03-19,28.12,28.22,28.03,28.18,51901600,26.65407
2013-03-18,27.88,28.28,27.81,28.10,44809400,26.5784
2013-03-15,28.03,28.16,27.98,28.04,92710300,26.52165
2013-03-14,28.00,28.16,27.93,28.14,55914800,26.61623
2013-03-13,27.87,28.02,27.75,27.92,29093400,26.40815
2013-03-12,27.84,27.95,27.64,27.91,39255200,26.39869
2013-03-11,27.94,27.97,27.67,27.87,36627500,26.36085
2013-03-08,28.25,28.33,27.96,28.00,37667800,26.48381
2013-03-07,28.11,28.28,28.01,28.14,29196700,26.61623
2013-03-06,28.21,28.23,27.78,28.09,51448500,26.56894
2013-03-05,28.29,28.54,28.16,28.35,41432200,26.81486
2013-03-04,27.85,28.15,27.70,28.15,38157500,26.62569
2013-03-01,27.72,27.98,27.52,27.95,34849700,26.43652
2013-02-28,27.88,27.97,27.74,27.80,35840200,26.29464
2013-02-27,27.42,28.00,27.33,27.81,36394700,26.3041
2013-02-26,27.38,27.60,27.34,27.37,49923300,25.88793
2013-02-25,27.97,28.05,27.37,27.37,48011800,25.88793
2013-02-22,27.68,27.76,27.48,27.76,31425900,26.25681
2013-02-21,27.74,27.74,27.23,27.49,49078500,26.00143
2013-02-20,28.13,28.20,27.83,27.87,44110200,26.36085
2013-02-19,27.88,28.09,27.80,28.05,38781400,26.53111
2013-02-15,28.04,28.16,27.88,28.01,49650900,26.27573
2013-02-14,27.92,28.06,27.87,28.04,32663200,26.30387
2013-02-13,27.93,28.11,27.88,28.03,41715600,26.29449
2013-02-12,27.88,28.00,27.75,27.88,35990900,26.15377
2013-02-11,27.65,27.92,27.50,27.86,32247700,26.13501
2013-02-08,27.35,27.71,27.31,27.55,33318500,25.84421
2013-02-07,27.35,27.39,27.10,27.28,38028300,25.59093
2013-02-06,27.38,27.54,27.25,27.34,41889600,25.64721
2013-02-05,27.62,27.66,27.36,27.50,35410400,25.7973
2013-02-04,27.87,28.02,27.42,27.44,50540000,25.74102
2013-02-01,27.67,28.05,27.55,27.93,55565900,26.20068
2013-01-31,27.79,27.97,27.40,27.45,50530000,25.7504
2013-01-30,28.01,28.19,27.76,27.85,43580500,26.12563
2013-01-29,27.82,28.13,27.60,28.01,49242600,26.27573
2013-01-28,28.01,28.23,27.76,27.91,56056500,26.18192
2013-01-25,27.58,28.23,27.39,27.88,81847700,26.15377
2013-01-24,27.70,28.07,27.47,27.63,101739300,25.91925
2013-01-23,27.20,27.64,27.20,27.61,50387700,25.90049
2013-01-22,27.30,27.45,27.00,27.15,58650600,25.46897
2013-01-18,27.10,27.29,27.04,27.25,52167700,25.56278
2013-01-17,27.19,27.47,27.06,27.25,51685900,25.56278
2013-01-16,27.15,27.23,27.01,27.04,41077400,25.36579
2013-01-15,26.83,27.29,26.83,27.21,48244500,25.52526
2013-01-14,26.90,27.08,26.76,26.89,48324400,25.22507
2013-01-11,26.49,26.93,26.28,26.83,55512100,25.16879
2013-01-10,26.65,26.98,26.29,26.46,71431300,24.8217
2013-01-09,26.72,26.75,26.56,26.70,49047900,25.04684
2013-01-08,26.75,26.79,26.46,26.55,44703100,24.90612
2013-01-07,26.77,26.88,26.64,26.69,37110400,25.03746
2013-01-04,27.27,27.34,26.73,26.74,52521100,25.08436
2013-01-03,27.63,27.65,27.16,27.25,48294400,25.56278
2013-01-02,27.25,27.73,27.15,27.62,52899300,25.90987
2012-12-31,26.59,26.77,26.37,26.71,42749500,25.05622
2012-12-28,26.71,26.90,26.55,26.55,28239900,24.90612
2012-12-27,26.89,27.09,26.57,26.96,39394000,25.29074
2012-12-26,27.03,27.20,26.70,26.86,31631100,25.19693
2012-12-24,27.20,27.25,27.00,27.06,20842400,25.38455
2012-12-21,27.45,27.49,27.00,27.45,98776500,25.7504
2012-12-20,27.36,27.68,27.15,27.68,52607300,25.96616
2012-12-19,27.69,27.73,27.25,27.31,53519900,25.61907
2012-12-18,27.25,27.63,27.14,27.56,50486900,25.85359
2012-12-17,26.79,27.22,26.68,27.10,42046100,25.42207
2012-12-14,27.11,27.13,26.70,26.81,42077500,25.15002
2012-12-13,27.32,27.52,26.95,27.11,45080100,25.43145
2012-12-12,27.53,27.62,27.08,27.24,43966300,25.5534
2012-12-11,27.05,27.49,27.05,27.32,52282800,25.62845
2012-12-10,26.56,26.97,26.52,26.94,47031100,25.27198
2012-12-07,26.82,26.82,26.37,26.46,46162100,24.8217
2012-12-06,26.81,26.98,26.61,26.73,39182300,25.07498
2012-12-05,26.38,26.93,26.26,26.67,68283800,25.01869
2012-12-04,26.50,26.63,26.34,26.37,49777500,24.73727
2012-12-03,26.78,26.82,26.40,26.43,53173800,24.79355
2012-11-30,27.05,27.13,26.49,26.62,83690200,24.97179
2012-11-29,27.11,27.36,26.86,26.95,69551400,25.28136
2012-11-28,27.01,27.39,26.77,27.36,53018400,25.66597
2012-11-27,27.36,27.38,27.04,27.08,45018600,25.40331
2012-11-26,27.54,27.58,27.17,27.39,85198700,25.69411
2012-11-23,27.23,27.77,27.20,27.70,57845700,25.98492
2012-11-21,26.71,27.17,26.67,26.95,66360300,25.28136
2012-11-20,26.76,26.80,26.46,26.71,47070400,25.05622
2012-11-19,26.80,26.80,26.47,26.73,57179300,25.07498
2012-11-16,26.67,26.70,26.34,26.52,64083300,24.87798
2012-11-15,26.88,26.97,26.63,26.66,50955600,25.00931
2012-11-14,27.24,27.29,26.80,26.84,76086100,25.17817
2012-11-13,27.02,27.30,26.75,27.09,131689200,25.41269
2012-11-12,28.94,29.01,28.21,28.22,61112300,26.25696
2012-11-09,28.88,29.19,28.81,28.83,43291200,26.82453
2012-11-08,29.12,29.37,28.80,28.81,49841800,26.80592
2012-11-07,29.53,29.83,29.05,29.08,57871800,27.05714
2012-11-06,29.82,30.20,29.61,29.86,43401500,27.78288
2012-11-05,29.62,29.74,29.33,29.63,38070800,27.56888
2012-11-02,29.59,29.77,29.33,29.50,57131600,27.44793
2012-11-01,28.84,29.56,28.82,29.52,72047900,27.46654
2012-10-31,28.55,28.88,28.50,28.54,69464100,26.55471
2012-10-26,27.86,28.34,27.84,28.21,57790000,26.24766
