Date,Open,High,Low,Close,Volume,Adj Close
2013-03-28,31.89,32.39,31.79,32.33,23676700,31.50682
2013-03-27,31.41,32.11,31.29,31.95,35028500,31.13649
2013-03-26,31.41,31.79,31.41,31.54,29420300,30.73693
2013-03-25,32.05,32.20,31.16,31.25,39694400,30.45432
2013-03-22,32.40,32.50,31.64,31.98,64333500,31.16573
2013-03-21,32.78,32.94,32.18,32.30,132669500,31.47758
2013-03-20,35.98,36.07,35.40,35.77,41088100,34.85923
2013-03-19,36.18,36.23,35.41,35.69,20548800,34.78127
2013-03-18,36.10,36.42,36.00,36.04,20654800,35.12236
2013-03-15,36.11,36.43,36.10,36.34,56178100,35.41471
2013-03-14,35.80,36.33,35.62,36.30,21040700,35.37573
2013-03-13,35.82,35.85,35.35,35.58,21228800,34.67407
2013-03-12,35.85,35.85,35.16,35.43,18411100,34.52789
2013-03-11,35.70,35.98,35.64,35.88,14111600,34.96643
2013-03-08,35.94,36.09,35.67,35.71,14985000,34.80075
2013-03-07,35.94,36.13,35.76,35.94,15098100,35.0249
2013-03-06,35.50,35.93,35.48,35.86,21340800,34.94694
2013-03-05,35.22,35.68,35.21,35.46,15410100,34.55712
2013-03-04,34.53,35.08,34.40,35.05,14750500,34.15756
2013-03-01,34.12,34.83,34.00,34.63,20376000,33.74826
2013-02-28,34.70,34.86,34.22,34.24,23816400,33.36819
2013-02-27,34.25,34.97,34.06,34.68,15671400,33.79698
2013-02-26,34.28,34.57,34.08,34.32,15839500,33.44615
2013-02-25,35.07,35.43,34.27,34.28,19992900,33.40717
2013-02-22,34.51,34.78,34.13,34.75,13754700,33.8652
2013-02-21,34.95,34.95,34.17,34.28,20923100,33.40717
2013-02-20,35.50,35.59,35.00,35.01,16263700,34.11858
2013-02-19,34.93,35.41,34.82,35.40,16446000,34.49865
2013-02-15,34.80,34.99,34.65,34.81,18406000,33.92368
2013-02-14,34.87,35.07,34.69,34.90,15886800,34.01138
2013-02-13,35.21,35.26,34.88,34.99,13176800,34.09909
2013-02-12,34.89,35.25,34.85,35.11,14666300,34.21603
2013-02-11,34.98,35.04,34.55,34.96,12648800,34.06985
2013-02-08,34.76,34.98,34.50,34.90,19255700,34.01138
2013-02-07,35.15,35.19,34.45,34.56,26869300,33.68004
2013-02-06,35.31,35.42,35.01,35.10,15603500,34.20629
2013-02-05,35.21,35.72,35.14,35.48,16662700,34.57661
2013-02-04,35.81,36.00,35.03,35.13,23595800,34.23553
2013-02-01,35.87,36.31,35.81,36.21,27725700,35.28802
2013-01-31,35.27,35.69,35.25,35.51,19077700,34.60585
2013-01-30,35.76,35.88,35.29,35.38,14249900,34.47916
2013-01-29,35.36,35.87,35.07,35.78,18284800,34.86897
2013-01-28,35.41,35.79,35.38,35.54,20119500,34.63509
2013-01-25,35.00,35.40,34.88,35.38,18061300,34.47916
2013-01-24,34.88,35.40,34.81,34.94,18662000,34.05036
2013-01-23,34.96,35.20,34.69,34.69,17235800,33.80673
2013-01-22,34.95,34.98,34.53,34.93,19309500,34.04062
2013-01-18,34.59,35.13,34.41,35.11,30088900,34.21603
2013-01-17,34.76,34.81,34.60,34.62,17827100,33.73851
2013-01-16,34.63,34.87,34.56,34.64,17608200,33.758
2013-01-15,34.57,34.88,34.52,34.70,16263600,33.81647
2013-01-14,34.83,35.00,34.60,34.96,14589400,34.06985
2013-01-11,34.96,35.00,34.78,34.86,15105200,33.9724
2013-01-10,34.56,34.92,34.41,34.91,17843600,34.02113
2013-01-09,34.50,34.80,34.38,34.46,18932700,33.58258
2013-01-08,34.15,34.51,34.06,34.44,17408900,33.56309
2013-01-07,34.44,34.52,34.21,34.43,14008300,33.55335
2013-01-04,34.45,34.75,34.40,34.61,21687300,33.72877
2013-01-03,34.63,34.75,34.14,34.31,21819500,33.43641
2013-01-02,34.08,34.74,33.93,34.69,33758400,33.80673
2012-12-31,32.91,33.46,32.69,33.32,25320000,32.47161
2012-12-28,33.04,33.49,33.00,33.02,16792100,32.17925
2012-12-27,33.54,33.62,33.00,33.27,21600200,32.42289
2012-12-26,33.67,33.85,33.34,33.61,13282100,32.75423
2012-12-24,33.46,33.64,33.42,33.61,6451900,32.75423
2012-12-21,33.51,33.92,33.20,33.76,45601600,32.90041
2012-12-20,34.09,34.25,33.93,33.94,28119900,33.07582
2012-12-19,33.86,34.35,33.83,34.09,60937600,33.222
2012-12-18,32.49,32.95,32.35,32.88,37797600,32.04282
2012-12-17,32.00,32.47,31.80,32.32,24047300,31.49707
2012-12-14,31.54,32.11,31.44,31.96,21930800,31.14624
2012-12-13,31.93,32.01,31.39,31.61,20608200,30.80515
2012-12-12,32.21,32.38,31.83,31.94,20205300,31.12675
2012-12-11,32.18,32.50,32.02,32.34,25716300,31.34115
2012-12-10,31.92,32.23,31.92,32.07,20712600,31.07948
2012-12-07,32.15,32.17,31.77,31.92,18421100,30.93412
2012-12-06,31.99,32.11,31.90,32.03,25132600,31.04072
2012-12-05,31.95,32.12,31.31,32.00,30775300,31.01165
2012-12-04,32.22,32.47,32.01,32.38,17391100,31.37991
2012-12-03,32.37,32.50,32.21,32.31,22159300,31.31207
2012-11-30,31.85,32.24,31.75,32.18,26610600,31.18609
2012-11-29,31.92,32.14,31.81,31.84,22205300,30.85659
2012-11-28,31.15,31.82,30.99,31.80,21603200,30.81783
2012-11-27,31.20,31.77,31.16,31.22,24696300,30.25574
2012-11-26,30.72,30.97,30.58,30.96,15644900,30.00377
2012-11-23,30.65,31.06,30.58,30.92,8211500,29.96501
2012-11-21,30.19,30.53,30.13,30.40,17423900,29.46107
2012-11-20,30.02,30.20,29.78,30.20,17448200,29.26724
2012-11-19,30.25,30.26,29.85,30.14,22551100,29.2091
2012-11-16,30.03,30.13,29.78,30.00,25491700,29.07342
2012-11-15,29.58,30.07,29.56,29.95,26295000,29.02497
2012-11-14,30.10,30.15,29.52,29.58,22562900,28.66639
2012-11-13,30.08,30.50,29.89,30.02,20901000,29.0928
2012-11-12,30.41,30.55,30.09,30.30,10964600,29.36415
2012-11-09,30.40,30.73,30.27,30.35,15537900,29.41261
2012-11-08,30.73,30.98,30.41,30.42,17902800,29.48045
2012-11-07,31.30,31.35,30.76,30.79,22295700,29.83902
2012-11-06,31.43,31.91,31.33,31.63,15018800,30.65307
2012-11-05,30.95,31.35,30.77,31.25,13590100,30.28481
2012-11-02,31.80,31.81,31.18,31.21,17251200,30.24605
2012-11-01,31.20,31.52,30.93,31.48,22886100,30.50771
2012-10-31,31.24,31.39,30.86,31.08,21844400,30.12006
2012-10-26,30.81,31.10,30.61,30.99,19815600,30.03284
2012-10-25,30.87,31.22,30.71,30.86,20696000,29.90686
2012-10-24,30.90,30.95,30.37,30.60,21642700,29.65489
2012-10-23,30.52,30.84,30.45,30.59,21384700,29.6452
2012-10-22,30.59,30.89,30.31,30.80,17338400,29.84871
2012-10-19,31.07,31.25,30.40,30.48,26239700,29.5386
2012-10-18,31.14,31.24,30.76,31.12,26013900,30.15883
2012-10-17,31.53,31.70,31.21,31.23,28326200,30.26543
2012-10-16,31.40,31.89,31.28,31.87,22024500,30.88566
2012-10-15,31.06,31.38,31.02,31.30,26143200,30.33327
2012-10-12,30.68,31.19,30.68,31.00,18639800,30.04253
2012-10-11,30.73,31.09,30.62,30.72,20436300,29.77118
2012-10-10,30.58,30.72,30.43,30.58,23103700,29.63551
2012-10-09,31.06,31.10,30.44,30.65,23311300,29.6452
2012-10-08,31.20,31.38,30.86,31.18,22261500,30.15782
2012-10-05,32.05,32.09,31.28,31.39,31239000,30.36094
2012-10-04,31.85,31.98,31.65,31.90,25156900,30.85422
2012-10-03,31.81,32.05,31.69,31.82,19700800,30.77684
2012-10-02,31.79,32.01,31.40,31.65,21859900,30.61242
2012-10-01,31.71,32.00,31.54,31.67,28412900,30.63176
2012-09-28,31.13,31.61,31.07,31.46,27014800,30.42864
2012-09-27,30.76,31.42,30.70,31.22,23400200,30.19651
2012-09-26,31.02,31.08,30.57,30.73,29234500,29.72257
2012-09-25,32.18,32.23,31.25,31.30,30757800,30.27389
2012-09-24,32.25,32.44,32.08,32.22,18511200,31.16373
2012-09-21,33.03,33.29,32.28,32.47,62905800,31.40553
2012-09-20,32.60,32.88,32.19,32.26,38005700,31.20242
2012-09-19,33.01,33.08,32.56,32.78,20913400,31.70537
2012-09-18,33.10,33.27,32.94,33.02,25285000,31.9375
2012-09-17,32.81,33.13,32.75,33.10,25017900,32.01488
2012-09-14,32.65,33.00,32.60,32.95,23162900,31.8698
2012-09-13,32.32,32.79,32.09,32.62,27451700,31.55062
2012-09-12,32.50,32.50,32.24,32.26,20602100,31.20242
2012-09-11,32.29,32.46,32.16,32.32,21554800,31.26045
2012-09-10,32.59,32.75,32.30,32.31,18589900,31.25078
2012-09-07,32.64,32.64,32.27,32.60,19068700,31.53127
