Date,Open,High,Low,Close,Volume,Adj Close
2013-03-28,1562.85999,1570.28003,1561.07996,1569.18994,3304440000,1569.18994
2013-03-27,1563.75,1564.06995,1551.90002,1562.84998,2914210000,1562.84998
2013-03-26,1551.68994,1563.94995,1551.68994,1563.77002,2869260000,1563.77002
2013-03-25,1556.89001,1564.91003,1546.21997,1551.68994,3178170000,1551.68994
2013-03-22,1545.90002,1557.73999,1545.90002,1556.89001,2948380000,1556.89001
2013-03-21,1558.70996,1558.70996,1543.55005,1545.80005,3243270000,1545.80005
2013-03-20,1548.33997,1561.56006,1548.33997,1558.70996,3349090000,1558.70996
2013-03-19,1552.09998,1557.25,1538.56995,1548.33997,3796210000,1548.33997
2013-03-18,1560.69995,1560.69995,1545.13,1552.09998,3164560000,1552.09998
2013-03-15,1563.20996,1563.62,1555.73999,1560.69995,5175850000,1560.69995
2013-03-14,1554.52002,1563.31995,1554.52002,1563.22998,3459260000,1563.22998
2013-03-13,1552.47998,1556.39001,1548.25,1554.52002,3073830000,1554.52002
2013-03-12,1556.21997,1556.77002,1548.23999,1552.47998,3274910000,1552.47998
2013-03-11,1551.15002,1556.27002,1547.35999,1556.21997,3091080000,1556.21997
2013-03-08,1544.26001,1552.47998,1542.93994,1551.18005,3652260000,1551.18005
2013-03-07,1541.45996,1545.78003,1541.45996,1544.26001,3634710000,1544.26001
2013-03-06,1539.79004,1545.25,1538.10999,1541.45996,3676890000,1541.45996
2013-03-05,1525.19995,1543.46997,1525.19995,1539.79004,3610690000,1539.79004
2013-03-04,1518.19995,1525.27002,1512.29004,1525.19995,3414430000,1525.19995
2013-03-01,1514.68005,1519.98999,1501.47998,1518.19995,3695610000,1518.19995
2013-02-28,1515.98999,1525.33997,1514.45996,1514.68005,3912320000,1514.68005
2013-02-27,1496.93994,1520.07996,1494.88,1515.98999,3551850000,1515.98999
2013-02-26,1487.84998,1498.98999,1485.01001,1496.93994,3975280000,1496.93994
2013-02-25,1515.59998,1525.83997,1487.84998,1487.84998,4011050000,1487.84998
2013-02-22,1502.42004,1515.64001,1502.42004,1515.59998,3419320000,1515.59998
2013-02-21,1511.94995,1511.94995,1497.29004,1502.42004,4274600000,1502.42004
2013-02-20,1530.93994,1530.93994,1511.41003,1511.94995,4240570000,1511.94995
2013-02-19,1519.79004,1530.93994,1519.79004,1530.93994,3748910000,1530.93994
2013-02-15,1521.38,1524.23999,1514.14001,1519.79004,3838510000,1519.79004
2013-02-14,1520.32996,1523.14001,1514.02002,1521.38,3759740000,1521.38
2013-02-13,1519.43005,1524.68994,1515.93005,1520.32996,3385880000,1520.32996
2013-02-12,1517.01001,1522.29004,1515.60999,1519.43005,3414370000,1519.43005
2013-02-11,1517.93005,1518.31006,1513.60999,1517.01001,2684100000,1517.01001
2013-02-08,1509.39001,1518.31006,1509.39001,1517.93005,2986150000,1517.93005
2013-02-07,1512.12,1512.90002,1498.48999,1509.39001,3614580000,1509.39001
2013-02-06,1511.29004,1512.53003,1504.70996,1512.12,3611570000,1512.12
2013-02-05,1495.70996,1514.95996,1495.70996,1511.29004,3618360000,1511.29004
2013-02-04,1513.17004,1513.17004,1495.02002,1495.70996,3390000000,1495.70996
2013-02-01,1498.10999,1514.41003,1498.10999,1513.17004,3836320000,1513.17004
2013-01-31,1501.95996,1504.18994,1496.76001,1498.10999,3999880000,1498.10999
2013-01-30,1507.83997,1509.93994,1500.10999,1501.95996,3726810000,1501.95996
2013-01-29,1500.18005,1509.34998,1498.08997,1507.83997,3949640000,1507.83997
2013-01-28,1502.95996,1503.22998,1496.32996,1500.18005,3388540000,1500.18005
2013-01-25,1494.81995,1503.26001,1494.81995,1502.95996,3476290000,1502.95996
2013-01-24,1494.81006,1502.27002,1489.45996,1494.81995,3699430000,1494.81995
2013-01-23,1492.56006,1496.13,1489.90002,1494.81006,3552010000,1494.81006
2013-01-22,1485.97998,1492.56006,1481.16003,1492.56006,3570950000,1492.56006
2013-01-18,1480.94995,1485.97998,1475.81006,1485.97998,3795740000,1485.97998
2013-01-17,1472.63,1485.16003,1472.63,1480.93994,3706710000,1480.93994
2013-01-16,1472.32996,1473.95996,1467.59998,1472.63,3384080000,1472.63
2013-01-15,1470.67004,1473.31006,1463.76001,1472.33997,3135350000,1472.33997
2013-01-14,1472.05005,1472.05005,1465.68994,1470.68005,3003010000,1470.68005
2013-01-11,1472.12,1472.75,1467.57996,1472.05005,3340650000,1472.05005
2013-01-10,1461.02002,1472.30005,1461.02002,1472.12,4081840000,1472.12
2013-01-09,1457.15002,1464.72998,1457.15002,1461.02002,3674390000,1461.02002
2013-01-08,1461.89001,1461.89001,1451.64001,1457.15002,3601600000,1457.15002
2013-01-07,1466.46997,1466.46997,1456.62,1461.89001,3304970000,1461.89001
2013-01-04,1459.37,1467.93994,1458.98999,1466.46997,3424290000,1466.46997
2013-01-03,1462.42004,1465.46997,1455.53003,1459.37,3829730000,1459.37
2013-01-02,1426.18994,1462.43005,1426.18994,1462.42004,4202600000,1462.42004
2012-12-31,1402.43005,1426.73999,1398.10999,1426.18994,3204330000,1426.18994
2012-12-28,1418.09998,1418.09998,1401.57996,1402.43005,2426680000,1402.43005
2012-12-27,1419.82996,1422.80005,1401.80005,1418.09998,2830180000,1418.09998
2012-12-26,1426.66003,1429.42004,1416.43005,1419.82996,2285030000,1419.82996
2012-12-24,1430.15002,1430.15002,1424.66003,1426.66003,1248960000,1426.66003
2012-12-21,1443.67004,1443.67004,1422.57996,1430.15002,5229160000,1430.15002
2012-12-20,1435.81006,1443.69995,1432.81995,1443.68994,3686580000,1443.68994
2012-12-19,1446.79004,1447.75,1435.80005,1435.81006,3869800000,1435.81006
2012-12-18,1430.46997,1448.00,1430.46997,1446.79004,4302240000,1446.79004
2012-12-17,1413.54004,1430.67004,1413.54004,1430.35999,3455610000,1430.35999
2012-12-14,1419.44995,1419.44995,1411.88,1413.57996,3210170000,1413.57996
2012-12-13,1428.47998,1431.35999,1416.00,1419.44995,3349960000,1419.44995
2012-12-12,1427.83997,1438.58997,1426.76001,1428.47998,3709050000,1428.47998
2012-12-11,1418.55005,1434.27002,1418.55005,1427.83997,3650230000,1427.83997
2012-12-10,1418.06995,1421.64001,1415.64001,1418.55005,2999430000,1418.55005
2012-12-07,1413.94995,1420.33997,1410.90002,1418.06995,3125160000,1418.06995
2012-12-06,1409.43005,1413.94995,1405.93005,1413.93994,3229700000,1413.93994
2012-12-05,1407.05005,1415.56006,1398.22998,1409.28003,4253920000,1409.28003
2012-12-04,1409.45996,1413.14001,1403.65002,1407.05005,3247710000,1407.05005
2012-12-03,1416.33997,1423.72998,1408.45996,1409.45996,3074280000,1409.45996
2012-11-30,1415.94995,1418.85999,1411.63,1416.18005,3966000000,1416.18005
2012-11-29,1409.95996,1419.69995,1409.04004,1415.94995,3356850000,1415.94995
2012-11-28,1398.77002,1410.31006,1385.43005,1409.93005,3359250000,1409.93005
2012-11-27,1406.29004,1409.01001,1398.03003,1398.93994,3323120000,1398.93994
2012-11-26,1409.15002,1409.15002,1397.68005,1406.29004,2948960000,1406.29004
2012-11-23,1391.03003,1409.16003,1391.03003,1409.15002,1504960000,1409.15002
2012-11-21,1387.79004,1391.25,1386.39001,1391.03003,2667090000,1391.03003
2012-11-20,1386.81995,1389.77002,1377.04004,1387.81006,3207160000,1387.81006
2012-11-19,1359.88,1386.89001,1359.88,1386.89001,3374800000,1386.89001
2012-11-16,1353.35999,1362.03003,1343.34998,1359.88,4045910000,1359.88
2012-11-15,1355.41003,1360.62,1348.05005,1353.32996,3928870000,1353.32996
2012-11-14,1374.64001,1380.13,1352.50,1355.48999,4109510000,1355.48999
2012-11-13,1380.03003,1388.81006,1371.39001,1374.53003,3455550000,1374.53003
2012-11-12,1379.85999,1384.87,1377.18994,1380.03003,2567540000,1380.03003
2012-11-09,1377.55005,1391.39001,1373.03003,1379.84998,3647350000,1379.84998
2012-11-08,1394.53003,1401.22998,1377.51001,1377.51001,3779520000,1377.51001
2012-11-07,1428.27002,1428.27002,1388.14001,1394.53003,4356490000,1394.53003
2012-11-06,1417.26001,1433.38,1417.26001,1428.39001,3306970000,1428.39001
2012-11-05,1414.02002,1419.90002,1408.13,1417.26001,2921040000,1417.26001
2012-11-02,1427.58997,1434.27002,1412.91003,1414.19995,3732480000,1414.19995
2012-11-01,1412.19995,1428.34998,1412.19995,1427.58997,3929890000,1427.58997
2012-10-31,1410.98999,1418.76001,1405.94995,1412.16003,3577110000,1412.16003
2012-10-26,1412.96997,1417.08997,1403.28003,1411.93994,3284910000,1411.93994
2012-10-25,1409.73999,1421.12,1405.14001,1412.96997,3512640000,1412.96997
2012-10-24,1413.19995,1420.04004,1407.09998,1408.75,3385970000,1408.75
2012-10-23,1433.73999,1433.73999,1407.56006,1413.10999,3587670000,1413.10999
2012-10-22,1433.20996,1435.45996,1422.06006,1433.81995,3216220000,1433.81995
2012-10-19,1457.33997,1457.33997,1429.84998,1433.18994,3875170000,1433.18994
2012-10-18,1460.93994,1464.02002,1452.63,1457.33997,3880030000,1457.33997
2012-10-17,1454.21997,1462.19995,1453.34998,1460.91003,3655320000,1460.91003
2012-10-16,1440.31006,1455.51001,1440.31006,1454.92004,3568770000,1454.92004
2012-10-15,1428.75,1441.31006,1427.23999,1440.13,3483810000,1440.13
2012-10-12,1432.83997,1438.43005,1425.53003,1428.58997,3134750000,1428.58997
2012-10-11,1432.81995,1443.90002,1432.81995,1432.83997,3672540000,1432.83997
2012-10-10,1441.47998,1442.52002,1430.64001,1432.56006,3225060000,1432.56006
2012-10-09,1455.90002,1455.90002,1441.18005,1441.47998,3216320000,1441.47998
2012-10-08,1460.93005,1460.93005,1453.09998,1455.88,2328720000,1455.88
2012-10-05,1461.40002,1470.95996,1456.89001,1460.93005,3172940000,1460.93005
2012-10-04,1451.07996,1463.14001,1451.07996,1461.40002,3615860000,1461.40002
2012-10-03,1446.05005,1454.30005,1441.98999,1450.98999,3531640000,1450.98999
2012-10-02,1444.98999,1451.52002,1439.01001,1445.75,3321790000,1445.75
2012-10-01,1440.90002,1457.14001,1440.90002,1444.48999,3505080000,1444.48999
2012-09-28,1447.13,1447.13,1435.59998,1440.67004,3509230000,1440.67004
2012-09-27,1433.35999,1450.19995,1433.35999,1447.15002,3150330000,1447.15002
2012-09-26,1441.59998,1441.59998,1430.53003,1433.31995,3565380000,1433.31995
2012-09-25,1456.93994,1463.23999,1441.58997,1441.58997,3739900000,1441.58997
2012-09-24,1459.76001,1460.71997,1452.06006,1456.89001,3008920000,1456.89001
2012-09-21,1460.33997,1467.06995,1459.51001,1460.15002,4833870000,1460.15002
2012-09-20,1461.05005,1461.22998,1449.97998,1460.26001,3382520000,1460.26001
2012-09-19,1459.50,1465.15002,1457.88,1461.05005,3451360000,1461.05005
2012-09-18,1461.18994,1461.46997,1456.13,1459.31995,3377390000,1459.31995
2012-09-17,1465.42004,1465.63,1457.55005,1461.18994,3482430000,1461.18994
2012-09-14,1460.06995,1474.51001,1460.06995,1465.77002,5041990000,1465.77002
2012-09-13,1436.56006,1463.76001,1435.33997,1459.98999,4606550000,1459.98999
2012-09-12,1433.56006,1439.15002,1432.98999,1436.56006,3641200000,1436.56006
2012-09-11,1429.13,1437.76001,1429.13,1433.56006,3509630000,1433.56006
2012-09-10,1437.92004,1438.73999,1428.97998,1429.07996,3223670000,1429.07996
2012-09-07,1432.12,1437.92004,1431.44995,1437.92004,3717620000,1437.92004
2012-09-06,1403.73999,1432.12,1403.73999,1432.12,3952870000,1432.12
2012-09-05,1404.93994,1408.81006,1401.25,1403.43994,3389110000,1403.43994
2012-09-04,1406.54004,1409.31006,1396.56006,1404.93994,3200310000,1404.93994
2012-08-31,1400.06995,1413.08997,1398.95996,1406.57996,2938250000,1406.57996
2012-08-30,1410.07996,1410.07996,1397.01001,1399.47998,2530280000,1399.47998
2012-08-29,1409.31995,1413.94995,1406.56995,1410.48999,2571220000,1410.48999
2012-08-28,1410.43994,1413.63,1405.58997,1409.30005,2629090000,1409.30005
2012-08-27,1411.13,1416.17004,1409.10999,1410.43994,2472500000,1410.43994
2012-08-24,1401.98999,1413.45996,1398.04004,1411.13,2598790000,1411.13
2012-08-23,1413.48999,1413.48999,1400.50,1402.07996,3008240000,1402.07996
2012-08-22,1413.08997,1416.12,1406.78003,1413.48999,3062690000,1413.48999
2012-08-21,1418.13,1426.68005,1410.85999,1413.17004,3282950000,1413.17004
2012-08-20,1417.84998,1418.13,1412.12,1418.13,2766320000,1418.13
2012-08-17,1415.83997,1418.70996,1414.67004,1418.16003,2922990000,1418.16003
2012-08-16,1405.56995,1417.43994,1404.15002,1415.51001,3114100000,1415.51001
2012-08-15,1403.89001,1407.72998,1401.82996,1405.53003,2655750000,1405.53003
2012-08-14,1404.35999,1410.03003,1400.59998,1403.93005,2930900000,1403.93005
2012-08-13,1405.87,1405.87,1397.31995,1404.10999,2499990000,1404.10999
2012-08-10,1402.57996,1405.97998,1395.62,1405.87,2767980000,1405.87
2012-08-09,1402.26001,1405.94995,1398.80005,1402.80005,3119610000,1402.80005
2012-08-08,1401.22998,1404.14001,1396.13,1402.21997,3221790000,1402.21997
2012-08-07,1394.45996,1407.14001,1394.45996,1401.34998,3682490000,1401.34998
2012-08-06,1391.04004,1399.63,1391.04004,1394.22998,3122050000,1394.22998
2012-08-03,1365.44995,1394.16003,1365.44995,1390.98999,3751170000,1390.98999
2012-08-02,1375.13,1375.13,1354.65002,1365.00,4193740000,1365.00
2012-08-01,1379.31995,1385.03003,1373.34998,1375.31995,4440920000,1375.31995
2012-07-31,1385.27002,1387.16003,1379.17004,1379.31995,3821570000,1379.31995
2012-07-30,1385.93994,1391.73999,1381.37,1385.30005,3212060000,1385.30005
2012-07-27,1360.05005,1389.18994,1360.05005,1385.96997,4399010000,1385.96997
2012-07-26,1338.17004,1363.13,1338.17004,1360.02002,4429300000,1360.02002
2012-07-25,1338.34998,1343.97998,1331.50,1337.89001,3719170000,1337.89001
2012-07-24,1350.52002,1351.53003,1329.23999,1338.31006,3891290000,1338.31006
2012-07-23,1362.33997,1362.33997,1337.56006,1350.52002,3717180000,1350.52002
2012-07-20,1376.51001,1376.51001,1362.18994,1362.66003,3925020000,1362.66003
2012-07-19,1373.01001,1380.39001,1371.20996,1376.51001,4043360000,1376.51001
2012-07-18,1363.57996,1375.26001,1358.95996,1372.78003,3642630000,1372.78003
2012-07-17,1353.68005,1365.35999,1345.06995,1363.67004,3566680000,1363.67004
2012-07-16,1356.50,1357.26001,1348.51001,1353.64001,2862720000,1353.64001
2012-07-13,1334.81006,1357.69995,1334.81006,1356.78003,3212930000,1356.78003
2012-07-12,1341.29004,1341.29004,1325.41003,1334.76001,3654440000,1334.76001
2012-07-11,1341.40002,1345.00,1333.25,1341.44995,3426290000,1341.44995
2012-07-10,1352.95996,1361.54004,1336.27002,1341.46997,3470600000,1341.46997
2012-07-09,1354.66003,1354.87,1346.65002,1352.45996,2904860000,1352.45996
2012-07-06,1367.08997,1367.08997,1348.03003,1354.68005,2745140000,1354.68005
2012-07-05,1373.71997,1373.84998,1363.02002,1367.57996,3041520000,1367.57996
2012-07-03,1365.75,1374.81006,1363.53003,1374.02002,2116390000,1374.02002
2012-07-02,1362.32996,1366.34998,1355.69995,1365.51001,3301650000,1365.51001
2012-06-29,1330.12,1362.17004,1330.12,1362.16003,4590480000,1362.16003
2012-06-28,1331.52002,1331.52002,1313.29004,1329.04004,3969370000,1329.04004
2012-06-27,1320.70996,1334.40002,1320.70996,1331.84998,3286910000,1331.84998
2012-06-26,1314.08997,1324.23999,1310.30005,1319.98999,3412940000,1319.98999
2012-06-25,1334.90002,1334.90002,1309.27002,1313.71997,3501820000,1313.71997
2012-06-22,1325.92004,1337.81995,1325.92004,1335.02002,5271490000,1335.02002
2012-06-21,1355.43005,1358.27002,1324.41003,1325.51001,4094470000,1325.51001
2012-06-20,1358.04004,1361.56995,1346.44995,1355.68994,3695700000,1355.68994
2012-06-19,1344.82996,1363.45996,1344.82996,1357.97998,3815350000,1357.97998
2012-06-18,1342.42004,1348.21997,1334.45996,1344.78003,3259430000,1344.78003
2012-06-15,1329.18994,1343.31995,1329.18994,1342.83997,4401570000,1342.83997
2012-06-14,1314.88,1333.68005,1314.14001,1329.09998,3687720000,1329.09998
2012-06-13,1324.02002,1327.28003,1310.51001,1314.88,3506510000,1314.88
2012-06-12,1309.40002,1324.31006,1306.62,1324.18005,3442920000,1324.18005
2012-06-11,1325.71997,1335.52002,1307.72998,1308.93005,3537530000,1308.93005
2012-06-08,1314.98999,1325.81006,1307.77002,1325.66003,3497190000,1325.66003
2012-06-07,1316.15002,1329.05005,1312.68005,1314.98999,4258140000,1314.98999
2012-06-06,1285.60999,1315.13,1285.60999,1315.13,4268360000,1315.13
2012-06-05,1277.81995,1287.62,1274.16003,1285.50,3403230000,1285.50
2012-06-04,1278.29004,1282.55005,1266.73999,1278.18005,4011960000,1278.18005
2012-06-01,1309.87,1309.87,1277.25,1278.04004,4669350000,1278.04004
2012-05-31,1313.08997,1319.73999,1298.90002,1310.32996,4557620000,1310.32996
2012-05-30,1331.25,1331.25,1310.76001,1313.31995,3534290000,1313.31995
2012-05-29,1318.90002,1334.93005,1318.90002,1332.42004,3441640000,1332.42004
2012-05-25,1320.81006,1324.19995,1314.22998,1317.81995,2872660000,1317.81995
2012-05-24,1318.71997,1324.14001,1310.50,1320.68005,3937670000,1320.68005
