Results,USD/JPY Close,USD/JPY High,USD/JPY Low
Average,110.009,110.356,109.552
Minimum, 101.241, 101.388, 100.798
Maximum, 121.420, 122.023, 121.135
Std,   7.688,   7.804,   7.533
# In Calc, 258, 258, 258

Date,USD/JPY Close,USD/JPY High,USD/JPY Low
2014-04-01,103.679,103.711,103.05
2014-04-02,103.837,103.932,103.55
2014-04-03,103.94,104.114,103.77
2014-04-04,103.24,104.126,103.17
2014-04-07,103.15,103.41,102.97
2014-04-08,101.694,103.118,101.52
2014-04-09,101.974,102.158,101.69
2014-04-10,101.485,102.136,101.3
2014-04-11,101.62,101.87,101.3
2014-04-14,101.743,102.011,101.39
2014-04-15,101.804,101.994,101.46
2014-04-16,102.28,102.365,101.78
2014-04-17,102.45,102.458,101.84
2014-04-18,102.379,102.57,102.32
2014-04-21,102.602,102.706,102.36
2014-04-22,102.61,102.72,102.37
2014-04-23,102.44,102.692,102.145
2014-04-24,102.311,102.646,102.06
2014-04-25,102.165,102.497,101.93
2014-04-28,102.54,102.62,102.01
2014-04-29,102.566,102.782,102.43
2014-04-30,102.16,102.66,102
2014-05-01,102.304,102.366,102.1
2014-05-02,102.232,103.019,102.09
2014-05-05,102.1,102.243,101.83
2014-05-06,101.639,102.19,101.47
2014-05-07,101.825,102.007,101.4
2014-05-08,101.546,101.957,101.43
2014-05-09,101.81,101.853,101.52
2014-05-12,102.168,102.186,101.79
2014-05-13,102.271,102.364,102.03
2014-05-14,101.772,102.276,101.69
2014-05-15,101.54,102.116,101.29
2014-05-16,101.53,101.67,101.33
2014-05-19,101.389,101.598,101.07
2014-05-20,101.32,101.599,101.15
2014-05-21,101.406,101.619,100.798
2014-05-22,101.787,101.815,101.31
2014-05-23,101.977,102.005,101.57
2014-05-26,101.922,102.051,101.8
2014-05-27,101.97,102.141,101.7
2014-05-28,101.84,102.03,101.61
2014-05-29,101.7,101.834,101.39
2014-05-30,101.802,101.846,101.45
2014-06-02,102.427,102.482,101.72
2014-06-03,102.527,102.552,102.24
2014-06-04,102.713,102.796,102.4
2014-06-05,102.472,102.734,102.31
2014-06-06,102.49,102.611,102.088
2014-06-09,102.517,102.649,102.34
2014-06-10,102.327,102.573,102.18
2014-06-11,101.97,102.392,101.83
2014-06-12,101.623,102.143,101.57
2014-06-13,101.99,102.138,101.62
2014-06-19,101.95,102.001,101.7
2014-06-20,102.101,102.196,101.78
2014-06-23,101.9,102.14,101.78
2014-06-24,101.922,102.167,101.79
2014-06-25,101.855,101.969,101.59
2014-06-26,101.691,101.857,101.46
2014-06-27,101.39,101.681,101.278
2014-06-30,101.318,101.472,101.21
2014-07-01,101.536,101.593,101.25
2014-07-02,101.808,101.843,101.37
2014-07-03,102.201,102.266,101.72
2014-07-04,102.07,102.221,101.94
2014-07-07,101.848,102.201,101.75
2014-07-08,101.52,101.89,101.46
2014-07-09,101.591,101.86,101.41
2014-07-10,101.293,101.631,101.04
2014-07-11,101.328,101.388,101.18
2014-07-14,101.565,101.623,101.333
2014-07-15,101.686,101.749,101.41
2014-07-16,101.72,101.793,101.636
2014-07-17,101.241,101.671,101.235
2014-07-18,101.353,101.449,101.091
2014-07-21,101.387,101.395,101.198
2014-07-22,101.456,101.603,101.335
2014-07-23,101.528,101.547,101.318
2014-07-24,101.814,101.859,101.418
2014-07-25,101.826,101.938,101.716
2014-07-28,101.87,101.908,101.752
2014-07-29,102.101,102.158,101.825
2014-07-30,102.85,103.09,102.04
2014-07-31,102.85,103.01,102.73
2014-08-01,102.584,103.03,102.34
2014-08-04,102.559,102.73,102.408
2014-08-05,102.593,102.925,102.464
2014-08-06,102.047,102.64,101.786
2014-08-07,102.009,102.46,102
