Date,USD/JPY Close,USD/JPY High,USD/JPY Low
4/2/2012,82.065,83.303,81.878
4/3/2012,82.87,82.993,81.558
4/4/2012,82.48,82.94,82.1
4/5/2012,82.427,82.472,81.83
4/6/2012,81.559,82.554,81.312
4/9/2012,81.6,81.67,81.19
4/10/2012,80.68,81.87,80.65
4/11/2012,80.901,81.121,80.578
4/12/2012,80.75,81.135,80.7
4/13/2012,81.073,81.2,80.848
4/16/2012,80.472,80.998,80.295
4/17/2012,80.9,80.93,80.34
4/18/2012,81.244,81.564,80.888
4/19/2012,81.53,81.734,81.176
4/20/2012,81.543,81.78,81.499
4/23/2012,81.14,81.67,80.976
4/24/2012,81.31,81.343,80.861
4/25/2012,81.33,81.698,81.076
4/26/2012,80.996,81.423,80.669
4/27/2012,80.369,81.443,80.32
4/30/2012,79.81,80.39,79.7
5/1/2012,80.178,80.303,79.64
5/2/2012,80.132,80.612,80.04
5/3/2012,80.24,80.551,80.104
5/4/2012,79.84,80.394,79.78
5/7/2012,79.948,80,79.648
5/8/2012,79.829,80.078,79.68
5/9/2012,79.63,79.941,79.432
5/10/2012,79.98,80,79.61
5/11/2012,79.891,79.992,79.71
5/14/2012,79.85,80.184,79.65
5/15/2012,80.231,80.335,79.815
5/16/2012,80.21,80.552,80.196
5/17/2012,79.263,80.393,79.12
5/18/2012,79.029,79.463,79.015
5/21/2012,79.279,79.449,79.03
5/22/2012,79.923,80.147,79.274
5/23/2012,79.489,80.073,79.2
5/24/2012,79.61,79.63,79.35
5/25/2012,79.64,79.821,79.45
5/28/2012,79.447,79.718,79.3
5/29/2012,79.512,79.64,79.34
5/30/2012,79.04,79.567,78.83
5/31/2012,78.38,79.13,78.22
6/1/2012,78.125,78.714,77.666
6/4/2012,78.36,78.47,77.99
6/5/2012,78.756,78.97,78.109
6/6/2012,79.239,79.278,78.616
6/7/2012,79.659,79.793,79.209
6/8/2012,79.353,79.753,79.113
6/11/2012,79.459,79.729,79.34
6/12/2012,79.471,79.692,79.167
6/13/2012,79.35,79.75,79.26
6/14/2012,79.3,79.48,79.16
6/15/2012,78.664,79.51,78.6
6/18/2012,79.112,79.306,78.676
6/19/2012,79.046,79.108,78.847
6/20/2012,79.488,79.702,78.797
6/21/2012,80.26,80.33,79.39
6/22/2012,80.413,80.57,80.011
6/25/2012,79.65,80.62,79.41
6/26/2012,79.451,79.788,79.235
6/27/2012,79.73,79.87,79.36
6/28/2012,79.418,79.755,79.224
6/29/2012,79.916,79.976,79.138
7/2/2012,79.48,79.979,79.315
7/3/2012,79.825,79.931,79.416
7/4/2012,79.828,79.89,79.594
7/5/2012,79.893,80.095,79.563
7/6/2012,79.614,80.022,79.483
7/9/2012,79.579,79.78,79.4
7/10/2012,79.376,79.595,79.215
7/11/2012,79.672,79.76,79.12
7/12/2012,79.288,79.954,79.15
7/13/2012,79.26,79.393,79.078
7/16/2012,78.824,79.284,78.691
7/17/2012,79.1,79.17,78.8
7/18/2012,78.764,79.155,78.72
7/19/2012,78.589,78.823,78.42
7/20/2012,78.467,78.802,78.41
7/23/2012,78.375,78.532,77.947
7/24/2012,78.194,78.374,78.08
7/25/2012,78.13,78.28,78.07
7/26/2012,78.273,78.316,77.988
7/27/2012,78.47,78.678,78.04
7/30/2012,78.203,78.545,78.122
7/31/2012,78.117,78.304,78.01
8/1/2012,78.48,78.495,77.915
8/2/2012,78.22,78.538,78.122
8/3/2012,78.547,78.773,78.073
8/6/2012,78.199,78.642,78.1
8/7/2012,78.64,78.74,78.161
8/8/2012,78.501,78.66,78.19
8/9/2012,78.578,78.792,78.27
8/10/2012,78.26,78.64,78.16
8/13/2012,78.361,78.376,78.13
8/14/2012,78.707,78.934,78.315
8/15/2012,78.877,79.05,78.588
8/16/2012,79.277,79.404,78.955
8/17/2012,79.544,79.575,79.234
8/20/2012,79.394,79.658,79.29
8/21/2012,79.239,79.525,79.19
8/22/2012,78.491,79.375,78.287
8/23/2012,78.452,78.695,78.34
8/24/2012,78.7,78.723,78.459
8/27/2012,78.753,78.842,78.61
8/28/2012,78.517,78.773,78.42
8/29/2012,78.685,78.786,78.45
8/30/2012,78.619,78.748,78.46
8/31/2012,78.283,78.64,78.189
9/3/2012,78.29,78.401,78.15
9/4/2012,78.39,78.471,78.24
9/5/2012,78.39,78.54,78.26
9/6/2012,78.862,79.034,78.383
9/7/2012,78.266,79.019,78
9/10/2012,78.25,78.33,78.15
9/11/2012,77.724,78.273,77.67
9/12/2012,77.8,77.966,77.73
9/13/2012,77.489,77.87,77.12
9/14/2012,78.362,78.374,77.46
9/17/2012,78.733,78.93,78.13
9/18/2012,78.85,78.874,78.49
9/19/2012,78.35,79.217,78.23
9/20/2012,78.278,78.46,77.99
9/21/2012,78.13,78.37,78.07
9/24/2012,77.855,78.2,77.78
9/25/2012,77.763,77.928,77.63
9/26/2012,77.713,77.906,77.593
9/27/2012,77.59,77.756,77.54
9/28/2012,77.97,78.11,77.44
10/1/2012,78,78.149,77.793
10/2/2012,78.1,78.215,77.979
10/3/2012,78.512,78.584,78.121
10/4/2012,78.47,78.718,78.26
10/5/2012,78.668,78.871,78.28
10/8/2012,78.33,78.76,78.05
10/9/2012,78.223,78.436,78.14
10/10/2012,78.15,78.37,78.09
10/11/2012,78.29,78.59,77.95
10/12/2012,78.366,78.534,78.25
10/15/2012,78.67,78.86,78.33
10/16/2012,78.87,78.963,78.697
10/17/2012,79.024,79.051,78.58
10/18/2012,79.264,79.463,78.995
10/19/2012,79.33,79.43,79.1
10/22/2012,79.89,79.935,79.219
10/23/2012,79.86,80.008,79.68
10/24/2012,79.786,79.925,79.69
10/25/2012,80.294,80.334,79.801
10/26/2012,79.6,80.38,79.49
10/29/2012,79.799,79.833,79.51
10/30/2012,79.62,80.13,79.28
10/31/2012,79.8,79.96,79.48
11/1/2012,80.19,80.21,79.78
11/2/2012,80.417,80.675,80.131
11/5/2012,80.28,80.563,80.12
11/6/2012,80.4,80.44,79.93
11/7/2012,79.933,80.416,79.75
11/8/2012,79.354,80.01,79.3
11/9/2012,79.484,79.611,79.04
11/12/2012,79.457,79.563,79.32
